2a0e:b107:ba0::/48,BR,BR-SP,Louveira,13294-312,
2a0e:b107:ba1::/48,US,US-CA,Los Angeles,
2a0e:b107:ba2::/48,IT,IT-FI,Florence,
2a0e:b107:ba3::/48,CH,CH-ZH,Bern,
2a0e:b107:ba4::/48,GB,GB-COV,Coventry,
2a0e:b107:ba5::/48,CA,CA-ON,Winnipeg,
2a0e:b107:ba6::/48,FR,FR-PAC,Marseille,
2a0e:b107:ba7::/48,CL,CL-RM,Santiago,
2a0e:b107:ba8::/48,AE,AE-DU,Dubai,
2a0e:b107:ba9::/48,JP,JP-13,Tokyo,
2a0e:b107:baa::/48,BR,BR-BA,Guanambi,
2a0e:b107:bab::/48,NL,NL-NH,Amsterdam,
2a0e:b107:bac::/48,PT,PT-13,Porto,
2a0e:b107:bad::/48,SM,SM-07,San Marino,
2a0e:b107:bae::/48,IL,IL-JM,Jerusalem,
2a0e:b107:baf::/48,AQ,
2a06:a005:5a7::/48,AQ,
2a06:1287:1300::/40,BR,BR-SP,Louveira,
